Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
D Bölge Müdürlüğü,IT-592-083,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-06-29,2000000,2000000,3442934,TL
E Bölge Müdürlüğü,IT-592-051,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-07-03,125000,125000,170484,TL
D Bölge Müdürlüğü,IT-592-052,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-07-06,518200,518200,12884905,TL
E Bölge Müdürlüğü,IT-592-048,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-07-20,1470000,1470000,2509169,TL
C Bölge Müdürlüğü,IT-592-023,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-08-12,1000000,1000000,6690658,TL
C Bölge Müdürlüğü,IT-592-049,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-09-21,500000,500000,532179,TL
B Bölge Müdürlüğü,IT-592-028,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-01,2200000,2200000,127161354,TL
A Bölge Müdürlüğü,IT-592-042,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-25,1500000,1500000,3182526,TL
D Bölge Müdürlüğü,IT-592-059,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-06-04,750000,750000,6695120,TL
E Bölge Müdürlüğü,IT-592-009,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-06-12,720000,720000,4815393,TL
D Bölge Müdürlüğü,IT-592-013,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-09-03,1200000,1200000,60436124,TL
D Bölge Müdürlüğü,IT-592-059,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-09,2100000,2100000,210701,TL
B Bölge Müdürlüğü,IT-592-016,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-10,500000,500000,9539861,TL
B Bölge Müdürlüğü,IT-592-092,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-16,2118000,2118000,2758582,TL
E Bölge Müdürlüğü,IT-592-039,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-22,80570,80570,534822,TL
D Bölge Müdürlüğü,IT-592-014,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-23,600000,600000,2269461,TL
C Bölge Müdürlüğü,IT-592-070,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-07-12,1550000,1550000,11389112,TL
C Bölge Müdürlüğü,IT-592-050,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-07-28,1200000,1200000,1386174,TL
A Bölge Müdürlüğü,IT-592-068,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-08-03,800000,800000,3351559,TL
B Bölge Müdürlüğü,IT-592-000,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-09-30,40000,40000,56518,TL
C Bölge Müdürlüğü,IT-592-046,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-08,1600000,1600000,5965118,TL
